Bleaching,Ocean,Year,Depth,Storms,HumanImpact,Siltation,Dynamite,Poison,Sewage,Industrial,Commercial
0,Pacific,2009,8.0,0,1,1,0,0,0,0,1
0,Indian,2002,3.0,0,1,0,1,2,2,1,0
0,Indian,2002,10.0,0,1,0,1,2,2,1,0
0,Pacific,2007,5.0,0,1,3,1,1,1,1,1
0,Pacific,2007,4.0,0,1,3,1,1,1,1,1
0,Pacific,2007,5.0,0,1,3,1,1,1,1,1
0,Indian,2001,3.0,0,2,0,1,1,0,0,0
0,Indian,2001,10.0,0,2,0,1,1,0,0,0
0,Indian,2001,3.0,1,2,0,2,2,1,0,0
0,Indian,2001,10.0,1,2,0,2,2,1,0,0
0,Pacific,2000,3.0,0,2,0,2,1,0,0,0
0,Pacific,2000,10.0,0,2,0,2,1,0,0,0
0,Indian,2001,3.0,1,2,0,2,2,1,0,0
0,Indian,2001,10.0,1,2,0,2,2,1,0,0
1,Pacific,1998,2.5,1,1,0,1,1,0,0,0
1,Pacific,1998,5.5,1,1,0,1,1,0,0,0
0,Pacific,1998,7.0,1,1,0,1,1,0,0,0
0,Pacific,1999,3.0,1,1,0,0,0,0,0,0
0,Pacific,1999,7.5,1,1,0,0,0,0,0,0
0,Pacific,1999,4.0,1,1,0,0,0,0,1,0
0,Pacific,1999,6.0,1,1,0,0,0,0,1,0
0,Pacific,2001,3.0,1,1,0,0,0,0,1,0
0,Pacific,2001,6.5,1,1,0,0,0,0,1,0
0,Pacific,2002,3.0,1,1,0,0,0,0,1,0
0,Pacific,2002,8.0,1,1,0,0,0,0,1,0
0,Pacific,1999,2.5,1,1,0,0,0,0,0,0
0,Pacific,1999,5.0,1,1,0,0,0,0,0,0
0,Pacific,2000,2.2,1,1,0,0,0,0,0,0
0,Pacific,2000,3.5,1,1,0,0,0,0,0,0
0,Pacific,2001,1.0,1,1,0,0,0,0,0,0
0,Pacific,2001,2.0,1,1,0,0,0,0,0,0
0,Pacific,2002,3.0,1,1,0,0,0,0,0,0
0,Pacific,2002,4.5,1,1,0,0,0,0,0,0
0,Pacific,1999,3.0,1,1,0,0,0,0,0,0
0,Pacific,1999,7.0,1,1,0,0,0,0,0,0
